mcs,n_clusters,standalone_r2,combined_r2,benefit
16,2,0.7118466258049011,0.7936237096786499,0.012539553642272994
12,10,0.7109614849090576,0.7851907730102539,0.004106616973876931
11,11,0.7159074544906616,0.7935896277427673,0.01250547170639038
9,12,0.7226012945175171,0.7929833412170411,0.011899185180664129
8,15,0.7246955990791321,0.7917567968368531,0.01067264080047614
7,16,0.7240896582603454,0.7905638694763184,0.009479713439941473
6,17,0.7254628658294677,0.7940670609474182,0.01298290491104126
5,21,0.7182891488075256,0.7892423152923584,0.008158159255981512
